**** Planta:  156 TRES MARIAS 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2038  3071.2  3071.2  3071.2  3071.2  3071.2 2489.18 2489.18 2489.18 2489.18 2489.18  3071.2  3071.2
2039  3071.2  3071.2  3071.2  3071.2  3071.2 2489.18 2489.18 2489.18 2489.18 2489.18  3071.2  3071.2
2040  3071.2  3071.2  3071.2  3071.2  3071.2 2489.18 2489.18 2489.18 2489.18 2489.18  3071.2  3071.2
2041  3071.2  3071.2  3071.2  3071.2  3071.2 2489.18 2489.18 2489.18 2489.18 2489.18  3071.2  3071.2
2042  3071.2  3071.2  3071.2  3071.2  3071.2 2489.18 2489.18 2489.18 2489.18 2489.18  3071.2  3071.2
**** Planta:  117 GUARAPIRANGA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2022 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2023 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2024 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2025 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2026 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2027 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2028 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2029 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2030 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2031 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2032 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2033 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2034 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2035 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2036 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2037 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2038 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2039 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2040 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2041 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
2042 146.673 162.944  163.19 176.263 176.263 176.263 181.238 181.238 181.238 181.238 179.668 169.187
**** Planta:  118 BILLINGS    
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2022 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2023 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2024 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2025 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2026 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2027 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2028 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2029 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2030 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2031 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2032 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2033 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2034 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2035 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2036 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2037 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2038 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2039 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2040 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2041 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
2042 917.518 954.977 987.229 1006.47 1019.03 1022.42 1038.38 1045.28 1034.99 1013.26 996.283 986.098
**** Planta:  122 SANTA BRANCA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2022 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2023 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2024 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2025 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2026 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2027 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2028 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2029 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2030 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2031 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2032 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2033 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2034 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2035 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2036 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2037 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2038 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2039 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2040 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2041 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
2042 390.367 422.799   430.9     439     439     439     439     439     439     439   430.9 414.699
**** Planta:  123 FUNIL       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2022 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2023 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2024 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2025 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2026 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2027 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2028 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2029 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2030 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2031 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2032 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2033 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2034 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2035 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2036 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2037 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2038 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2039 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2040 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2041 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
2042 658.403 698.333 788.175     888     888     888     888     888     888     888 748.245 618.473
**** Planta:  124 LAJES       
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2022   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2023   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2024   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2025   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2026   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2027   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2028   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2029   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2030   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2031   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2032   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2033   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
2034   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8   441.8
