**** Planta:  156 TRES MARIAS 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2032 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2033 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2034 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2035 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2036 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2037 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2038 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2039 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2040 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2041 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
2042 525.012 534.991 545.021     555     555     555     555     555     555     555 525.012 514.982
**** Planta:   17 MARIMBONDO  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2022 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2023 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2024 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2025 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2026 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2027 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2028 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2029 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2030 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2031 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2032 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2033 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2034 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2035 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2036 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2037 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2038 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2039 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2040 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2041 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
2042 4525.19 4679.83 5195.31 5676.07    5887    5887    5887    5887    5887    5887 4502.04 3996.03
**** Planta:   18 A. VERMELHA 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2022 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2023 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2024 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2025 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2026 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2027 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2028 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2029 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2030 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2031 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2032 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2033 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2034 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2035 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2036 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2037 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2038 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2039 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2040 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2041 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
2042 9442.77 9902.81 10482.8   11025   11025   11025   11025   11025   11025   11025 9412.79 8826.11
**** Planta:   34 I. SOLTEIRA 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2022 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2023 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2024 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2025 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2026 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2027 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2028 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2029 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2030 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2031 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2032 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2033 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2034 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2035 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2036 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2037 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2038 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2039 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2040 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2041 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
2042 18290.9 19066.5 20091.5   21060   21060   21060   21060   21060   21060   21060 18244.2 18091.4
**** Planta:   24 EMBORCACAO  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2022 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2023 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2024 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2025 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2026 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2027 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2028 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2029 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2030 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2031 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2032 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2033 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2034 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2035 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2036 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2037 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2038 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2039 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2040 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2041 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
2042 17347.7 17449.5 17591.8   17725   17725   17725   17725   17725   17725   17725 17342.5   17114
**** Planta:   25 NOVA PONTE  
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2022 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2023 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2024 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2025 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2026 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2027 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2028 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2029 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2030 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2031 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2032 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2033 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2034 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2035 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2036 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2037 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2038 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2039 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2040 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2041 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
2042 12567.8   12628 12713.1   12792   12792   12792   12792   12792   12792   12792 12563.6 12392.4
**** Planta:   31 ITUMBIARA   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2022 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2023 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2024 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2025 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2026 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2027 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2028 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2029 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2030 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2031 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2032 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2033 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2034 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2035 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2036 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2037 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2038 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2039 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2040 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2041 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
2042 15840.1   16159 16608.5   17027   17027   17027   17027   17027   17027   17027 15751.7 15299.6
**** Planta:   33 SAO SIMAO   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2022 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2023 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2024 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2025 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2026 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2027 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2028 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2029 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2030 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2031 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2032 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2033 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2034 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2035 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2036 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2037 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2038 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2039 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2040 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2041 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
2042 10717.9 11219.8 11901.8   12540   12540   12540   12540   12540   12540   12540 10649.2 9996.03
**** Planta:   37 BARRA BONITA
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2022 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2023 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2024 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2025 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2026 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2027 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2028 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2029 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2030 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2031 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2032 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2033 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2034 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2035 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2036 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2037 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2038 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2039 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2040 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2041 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
2042 2565.09 2724.95    2785  3004.9 3034.93    3135    3135    3135    3135    3135 2822.97 2455.01
**** Planta:   40 PROMISSAO   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2022 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2023 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2024 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2025 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2026 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2027 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2028 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2029 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2030 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2031 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2032 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2033 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2034 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2035 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2036 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2037 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2038 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2039 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2040 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2041 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
2042 6903.03 7053.05 7236.91    7408    7408    7408    7408    7408    7408    7408 6893.02 5896.06
**** Planta:   43 TRES IRMAOS 
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2022 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2023 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2024 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2025 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2026 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2027 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2028 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2029 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2030 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2031 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2032 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2033 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2034 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2035 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2036 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2037 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2038 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2039 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2040 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2041 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
2042 11624.1 12114.5 12765.3   13372   13372   13372   13372   13372   13372   13372 11594.7 11498.5
**** Planta:   47 A.A. LAYDNER
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2022 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2023 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2024 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2025 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2026 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2027 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2028 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2029 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2030 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2031 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2032 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2033 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2034 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2035 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2036 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2037 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2038 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2039 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2040 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2041 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
2042 6508.56 6616.17 6834.56 6638.01 6551.61 6681.37 6768.73 6768.73 6768.73 6878.87 6703.21 6530.09
**** Planta:   49 CHAVANTES   
A~no ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021  8208.7 8596.42 8755.16 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2022  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2023  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2024  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2025  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2026  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2027  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
2028  8208.7 8596.42 8715.33 8557.19 8439.81 8479.04 8655.72 8655.72 8576.96 8656.64 8420.65 8189.84
