$version=1
MOD: 01/08/2021
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
 167 P. PECEM I      1                    0 592.286       0       0       0               100                                                                        0                                           
  98 PERNAMBU_III    1                    0  200.79   75.05   75.05       0               100                                                                        0                                           
 151 POTIGUAR        1                    0 51.6698       0       0       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0 52.5888       0       0       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0  26.647       0       0       0               100                                                                        0                                           
 170 SUAPE II        1                    0 381.069       0       0       0               100                                                                        0                                           
  43 TERMOBAHIA      1                    0 170.006       0       0       0               100                                                                        0                                           
 152 TERMOCABO       1                    0 49.0039       0       0       0               100                                                                        0                                           
  58 TERMOCEARA      1                    0  159.69       0       0       0               100                                                                        0                                           
  69 TERMOPB         1                    0 155.747       0       0       0               100                                                                        0                                           
  96 TERMOPE         1                348.8 505.003       0       0       0               100                                                                        0                                           
MOD: 01/11/2021
!Num ...Nombre... #Uni Tipo .PotIns .GerMin .GerMax ..Teif. ..Ih... .CVaria .MR. Comb ...G1.. .CEsp.1 ...G2.. .CEsp.2 ...G3.. .CEsp.3 NAdF ...1 ...2 ...3 ComT CTransp StartUp sfal NGas NuCC ..NombreCC.. CoefE.
  52 CAMPINA GDE     1                    0 152.815       0       0       0               100                                                                        0                                           
 106 ERB CANDEIAS    1                    0 13.0005       0       0       0               100                                                                        0                                           
  57 MARACANAU I     1                    0 151.066       0       0       0               100                                                                        0                                           
 167 P. PECEM I      1                    0 719.992       0       0       0               100                                                                        0                                           
 151 POTIGUAR        1                    0 53.0988       0       0       0               100                                                                        0                                           
 161 POTIGUAR III    1                    0 54.7999       0       0       0               100                                                                        0                                           
 147 PROSPERIDADE    1                    0 27.7678       0       0       0               100                                                                        0                                           
 170 SUAPE II        1                    0 379.964       0       0       0               100                                                                        0                                           
  58 TERMOCEARA      1                    0 190.821       0       0       0               100                                                                        0                                           
  67 TERMONE         1                    0 160.531       0       0       0               100                                                                        0                                           
  69 TERMOPB         1                    0 159.506       0       0       0               100                                                                        0                                           
MOD: 01/12/2021
