NUM ...Nombre... .TP ...PrdEsp... ...PrdHid... U .....A0..... .....A1..... .....A2..... .....A3..... .....A4.....
 204 CACH.CALDEIR         0.009037         0.32 2     47.43975   0.09548884  -0.00033629 6.80688e-007 -5.7417e-010
 267 ESTREITO TOC         0.009082         0.39 2     155.4004            0            0            0            0
 275 TUCURUI              0.009065          0.9 2     31.78443  0.002392409 -6.7487e-008 1.04707e-012 -6.3456e-018
 277 BALBINA              0.008989          0.3 2     36.95247  0.001339282 -5.4556e-008 1.44607e-012 -1.5541e-017
 280 COARACY NUNE         0.008927         0.18 2     30.55788       0.2514 -0.003157116 2.24721e-005 -6.0838e-008
 284 FERREIRA GOM         0.009037          0.2 2      7.65071    0.1891085 -0.001132528 4.47717e-006 -7.1881e-009
 286 STO ANT JARI         0.009094         0.63 2     13.92494    0.3594691 -0.003450117 1.64484e-005 -3.0088e-008
 314 PIMENTAL              0.00877         0.15 2     77.37574  0.009358076 -2.0986e-006 2.79028e-010 -1.4706e-014
 272 CURUA-UNA            0.008633          0.2 2     21.39297   0.03364582 -4.0078e-005 2.50425e-008 -2.7895e-012
 288 BELO MONTE           0.009074         2.62 2     77.37574  0.009358076 -2.0986e-006 2.79028e-010 -1.4706e-014
