**** Planta:   48                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2025   1       0       0       0       0       0       0       0       0       0       0       0       0
2025   2       0       0       0       0       0       0       0       0       0       0       0       0
2025   3       0       0       0       0       0       0       0       0       0       0       0       0
**** Planta:  237                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                               0       0       0       0       0
2021   2                                                               0       0       0       0       0
2021   3                                                               0       0       0       0       0
2022   1       0       0       0       0       0       0       0       0       0       0       0       0
2022   2       0       0       0       0       0       0       0       0       0       0       0       0
2022   3       0       0       0       0       0       0       0       0       0       0       0       0
2023   1       0       0       0       0       0      20      20      20      20      20      20      20
2023   2       0       0       0       0       0      20      20      20      20      20      20      20
2023   3       0       0       0       0       0      20      20      20      20      20      20      20
2024   1      20      20      20      20      20      20      20      20      20      20      20      20
2024   2      20      20      20      20      20      20      20      20      20      20      20      20
2024   3      20      20      20      20      20      20      20      20      20      20      20      20
2025   1      20      20      20      20      20      20      20      20      20      20      20      20
2025   2      20      20      20      20      20      20      20      20      20      20      20      20
2025   3      20      20      20      20      20      20      20      20      20      20      20      20
**** Planta:  156                                0
A~no Blk ......1 ......2 ......3 ......4 ......5 ......6 ......7 ......8 ......9 .....10 .....11 .....12
2021   1                                                             210     210     210   36.66     210
2021   2                                                             210     210     210   36.66     210
2021   3                                                             210     210     210   36.66     210
2022   1     210     210     210     210     210       0     210     210     210     210     210     210
2022   2     210     210     210     210     210       0     210     210     210     210     210     210
2022   3     210     210     210     210     210       0     210     210     210     210     210     210
2023   1     210     210     210     210     210       0     210     210     210     210     210     210
2023   2     210     210     210     210     210       0     210     210     210     210     210     210
2023   3     210     210     210     210     210       0     210     210     210     210     210     210
2024   1     210     210     210     210     210       0     210     210     210     210     210     210
2024   2     210     210     210     210     210       0     210     210     210     210     210     210
2024   3     210     210     210     210     210       0     210     210     210     210     210     210
2025   1     210     210     210     210     210       0     210     210     210     210     210     210
2025   2     210     210     210     210     210       0     210     210     210     210     210     210
2025   3     210     210     210     210     210       0     210     210     210     210     210     210
**** Planta:   64                                0
