NUM:  57 MAUA                  Penal: 0          0
2022  0.78  0.61   0.4  0.21  0.22  0.23  0.23  0.28  0.31  0.36  0.49   0.5
2023   0.8  0.62   0.4  0.21  0.22  0.23  0.24  0.28  0.31  0.37   0.5  0.51
2024  0.81  0.63  0.41  0.21  0.22  0.23  0.24  0.29  0.31  0.37  0.51  0.52
2025  0.83  0.65  0.41  0.22  0.22  0.23  0.24  0.29  0.32  0.38  0.52  0.53
NUM:  92 ITA                   Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  2.37  2.04  1.78  1.52  1.44  1.46  1.49  1.66  1.74  1.84  2.26   2.5
2022  2.41  2.07   1.8  1.53  1.45  1.48   1.5  1.68  1.76  1.87  2.29  2.54
2023  2.44   2.1  1.83  1.55  1.47  1.49  1.52   1.7  1.78  1.89  2.32  2.58
2024  2.48  2.13  1.85  1.56  1.48  1.51  1.53  1.72  1.81  1.91  2.36  2.62
2025  2.52  2.16  1.87  1.58  1.49  1.52  1.55  1.74  1.83  1.94  2.39  2.66
NUM:  93 PASSO FUNDO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.93  0.69  0.43  0.32  0.33  0.34  0.34  0.34  0.34  0.34  0.37  0.69
2022  0.95   0.7  0.44  0.32  0.34  0.34  0.34  0.34  0.35  0.35  0.38   0.7
2023  0.97  0.72  0.45  0.33  0.35  0.35  0.35  0.35  0.35  0.36  0.39  0.72
2024     1  0.74  0.46  0.33  0.35  0.35  0.36  0.36  0.36  0.36  0.39  0.73
2025  1.02  0.75  0.46  0.34  0.36  0.36  0.36  0.36  0.36  0.37   0.4  0.75
NUM:  94 MONJOLINHO            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.15  0.13   0.1  0.06  0.06  0.06  0.06  0.06  0.06  0.07  0.09   0.1
2022  0.16  0.13   0.1  0.06  0.06  0.06  0.07  0.07  0.07  0.07  0.09   0.1
2023  0.16  0.14   0.1  0.06  0.06  0.07  0.07  0.07  0.07  0.07  0.09   0.1
2024  0.16  0.14  0.11  0.06  0.06  0.07  0.07  0.07  0.07  0.07  0.09   0.1
2025  0.17  0.14  0.11  0.06  0.06  0.07  0.07  0.07  0.07  0.07  0.09  0.11
NUM:  95 QUEBRA QUEIX          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021   0.1   0.1  0.09  0.08  0.08  0.08  0.08  0.09  0.09   0.1  0.11  0.11
2022   0.1   0.1  0.09  0.08  0.08  0.08  0.08  0.09  0.09   0.1  0.11  0.11
2023   0.1   0.1  0.09  0.08  0.08  0.08  0.08  0.09  0.09   0.1  0.11  0.11
2024   0.1   0.1  0.09  0.08  0.08  0.08  0.08  0.09  0.09   0.1  0.11  0.11
2025   0.1   0.1   0.1  0.08  0.08  0.08  0.09   0.1  0.09   0.1  0.11  0.11
NUM: 101 SAO JOSE              Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  1.79  1.56  0.96  0.52  0.55  0.56  0.56  0.56  0.56  0.57  0.65  1.09
2022  1.82  1.59  0.97  0.52  0.56  0.56  0.57  0.57  0.57  0.58  0.66  1.11
2023  1.86  1.62  0.99  0.53  0.56  0.57  0.57  0.57  0.57  0.58  0.67  1.13
2024   1.9  1.65     1  0.53  0.56  0.57  0.57  0.57  0.58  0.59  0.67  1.14
2025  1.93  1.68  1.02  0.53  0.57  0.58  0.58  0.58  0.58  0.59  0.68  1.16
NUM: 102 PASSO S JOAO          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 21.34 21.32 18.12 18.01 18.02 25.53 33.83 40.83 61.33 46.23 36.65 27.14
2022 21.36 21.32 18.13 18.01 18.02 25.53 33.83 40.83 61.33 46.23 36.65 27.14
2023 21.37 21.33 18.13 18.01 18.02 25.53 33.83 40.83 61.33 46.23 36.65 27.14
2024 21.38 21.34 18.13 18.01 18.02 25.53 33.83 40.83 61.33 46.23 36.65 27.15
2025 21.39 21.35 18.13 18.01 18.02 25.53 33.83 40.83 61.33 46.23 36.65 27.15
NUM: 103 FOZ CHAPECO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 75.93 75.91 75.86 75.79 75.79  75.8 75.81 75.83 75.85 75.86 75.91  75.9
2022 75.95 75.92 75.87  75.8  75.8 75.81 75.82 75.84 75.86 75.87 75.92 75.91
2023 75.96 75.93 75.88 75.81 75.81 75.82 75.82 75.84 75.87 75.88 75.93 75.92
2024 75.97 75.94 75.89 75.82 75.82 75.82 75.83 75.85 75.88 75.89 75.94 75.93
2025 75.98 75.95  75.9 75.83 75.83 75.83 75.84 75.86 75.89  75.9 75.95 75.94
NUM:  97 CASTRO ALVES          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 17.77 17.49 17.58 17.39 17.32 17.26 17.26 17.26 17.26 17.38 17.98  17.8
2022 17.78  17.5 17.59  17.4 17.32 17.26 17.26 17.26 17.26 17.39    18 17.81
2023  17.8 17.51  17.6  17.4 17.33 17.26 17.26 17.26 17.26 17.39 18.02 17.83
2024 17.81 17.52 17.61 17.41 17.33 17.26 17.26 17.26 17.27  17.4 18.04 17.84
2025 17.83 17.53 17.62 17.41 17.33 17.26 17.26 17.27 17.27  17.4 18.06 17.86
NUM:  98 MONTE CLARO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021   2.9  2.85  2.74  2.43  2.39  2.39   2.4   2.4   2.4  2.44  2.88  2.77
2022  2.92  2.87  2.76  2.45   2.4  2.41  2.41  2.41  2.41  2.46   2.9   2.8
2023  2.95  2.89  2.78  2.46  2.41  2.42  2.42  2.42  2.43  2.47  2.93  2.82
2024  2.97  2.92   2.8  2.47  2.43  2.43  2.43  2.44  2.44  2.48  2.95  2.84
2025     3  2.94  2.83  2.48  2.44  2.44  2.45  2.45  2.45   2.5  2.98  2.86
NUM:  99 14 DE JULHO           Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 10.08 10.06 10.06 10.05 10.05 10.05 10.05 10.05 10.05 10.05 10.07 10.07
2022 10.08 10.07 10.07 10.05 10.05 10.05 10.06 10.06 10.06 10.06 10.08 10.08
2023 10.09 10.07 10.07 10.06 10.06 10.06 10.06 10.06 10.06 10.06 10.08 10.08
2024  10.1 10.08 10.08 10.06 10.06 10.07 10.07 10.07 10.07 10.07 10.09 10.09
2025  10.1 10.08 10.08 10.07 10.07 10.07 10.07 10.07 10.07 10.07 10.09  10.1
NUM: 110 ERNESTINA             Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.06  0.05  0.03  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.03
2022  0.06  0.05  0.03  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.03
2023  0.06  0.05  0.03  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.03
2024  0.06  0.05  0.03  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.03
2025  0.06  0.05  0.03  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.02  0.03
NUM: 111 PASSO REAL            Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.73  0.61  0.43  0.31  0.32  0.32  0.32  0.32  0.32  0.33  0.39  0.51
2022  0.75  0.62  0.44  0.31  0.32  0.32  0.33  0.33  0.33  0.33  0.39  0.52
2023  0.76  0.63  0.44  0.32  0.32  0.33  0.33  0.33  0.33  0.34  0.39  0.53
2024  0.77  0.64  0.45  0.32  0.33  0.33  0.33  0.33  0.33  0.34   0.4  0.54
2025  0.79  0.65  0.45  0.32  0.33  0.33  0.33  0.33  0.33  0.34   0.4  0.54
NUM: 112 JACUI                 Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.03  0.03  0.02  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.02
2022  0.03  0.03  0.02  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.02
2023  0.03  0.03  0.02  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03
2024  0.03  0.03  0.02  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03
2025  0.03  0.03  0.02  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.01  0.03
NUM: 113 ITAUBA                Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021  0.49  0.36  0.16  0.05  0.06  0.06  0.06  0.06  0.06  0.07  0.09  0.29
2022   0.5  0.36  0.16  0.05  0.06  0.06  0.06  0.06  0.06  0.07  0.09  0.29
2023  0.51  0.37  0.17  0.05  0.06  0.06  0.06  0.06  0.06  0.07  0.09   0.3
2024  0.52  0.38  0.17  0.05  0.06  0.06  0.06  0.06  0.06  0.07  0.09  0.31
2025  0.53  0.39  0.17  0.05  0.06  0.06  0.06  0.06  0.06  0.07  0.09  0.31
NUM: 114 D. FRANCISCA          Penal: 0          0
A~NO ....1 ....2 ....3 ....4 ....5 ....6 ....7 ....8 ....9 ...10 ...11 ...12
2021 15.44 15.24 14.97 14.84 14.85 14.86 14.86 14.86 14.86 14.86  14.9 15.22
2022 15.45 15.25 14.97 14.84 14.85 14.86 14.86 14.86 14.86 14.86  14.9 15.23
