$version=1
!D/MM/YYYY  .Num ....Name.... KeyWord     Blck .....Value
01/01/2025     1 Soma    1    UB             2      11300     
01/01/2025     1 Soma    1    UB             3       8300     
01/04/2025     2 Soma    2    UB             1      14700     
01/04/2025     2 Soma    2    UB             2      14700     
01/04/2025     2 Soma    2    UB             3      14100     
01/04/2025     1 Soma    1    UB             1      15000     
01/04/2025     1 Soma    1    UB             2      15000     
01/04/2025     1 Soma    1    UB             3       9300     
01/05/2025    14 Soma   14    UB             1      14806     
01/05/2025    14 Soma   14    UB             2      14806     
01/05/2025    14 Soma   14    UB             3      15106     
01/07/2025    14 Soma   14    UB             *      15806     
01/07/2025     1 Soma    1    UB             1      11000     
01/07/2025     1 Soma    1    UB             2      11000     
01/08/2025    14 Soma   14    UB             *      14306     
01/11/2025    14 Soma   14    UB             1      14965     
01/11/2025    14 Soma   14    UB             2      14965     
01/11/2025    14 Soma   14    UB             3      14765     
01/12/2025    14 Soma   14    UB             1      16065     
01/12/2025    14 Soma   14    UB             2      16065     
01/12/2025    14 Soma   14    UB             3      15965     
