$version=1
!Code,Pol,Reference,N,A0,A1,A2,A3,A4
57,1,0,4,510.598,0.009243,-6.8e-006,3.19e-009,-6e-013
71,1,0,4,705.5,0.00358,8.09e-006,-2e-008,1.2e-011
72,1,0,4,604.918,0.02781,-4.6e-005,3.36e-008,-9e-012
74,1,0,4,601.886,0.001106,4.21e-007,-8e-011,4.8e-015
83,1,0,4,240.328,0.001751,-3.3e-007,3.1e-011,-1e-015
86,1,0,4,479.953,0.001618,-4.5e-008,0,0
