 NUM,...Nombre...,.PV.,.VAA,.TAA,#Uni,Tipo,....Pot,.FPMed.,.QMin..,.QMax..,.VMin..,.VMax..,.VInic.,Min.V+T,..VNC..,..ICP..,...IH..,..FP1..,..Vol1.,..FP2..,..Vol2.,..FP3..,..Vol3.,..FP4..,..Vol4.,..FP5..,..Vol5.,.Area1.,..Vol1.,.Area2.,..Vol2.,.Area3.,..Vol3.,.Area4.,..Vol4.,.Area5.,..Vol5.,.Filt1.,..Vol1.,.Filt2.,..Vol2.,.Filt3.,..Vol3.,.Filt4.,..Vol4.,.Filt5.,..Vol5.,.Cota1.,.Vol1..,.Cota2.,.Vol2..,.Cota3.,.Vol3..,.Cota4.,.Vol4..,.Cota5.,.Vol5..,.Ev1,.Ev2,.Ev3,.Ev4,.Ev5,.Ev6,.Ev7,.Ev8,.Ev9,Ev10,Ev11,Ev12,tini,tfil,.faa,tare,.varea.,tfil,.vfiltr,F.Reg..,pVar,.ICV,C.Vert.,sfal,Cos.O&M,Irxh,RendT&G,.EA.,Niv.Jus,I,JuAr,I,.TurIn1,.TotIn1,.TurIn2,.TotIn2,.TurIn3,.TotIn3,.TurIn4,.TotIn4,.TurIn5,.TotIn5,H,V,.CFuga1,..Def1.,.CFuga2,..Def2.,.CFuga3,..Def3.,.CFuga4,..Def4.,.CFuga5,..Def5.,E,PHidTur,PHidVer
14,CACONDE,14,15,15,2,1,80.4,0.77556,0,94,51,555,0.196,8,0,0.294,4.85156,0.61529,51,0.69074,121.56,0.75728,227.4,0.84447,454.2,0.87102,555,6.34375,51,17.7104,242.52,21.8996,328.2,28.6501,484.44,30.75,555,0,0,0,0,0,0,0,0,0,0,823.982,51,832.814,121.56,840.604,227.4,850.811,454.2,853.919,555,18,11,35,49,60,60,54,55,47,17,19,30,0,0,15,1,20.6563,0,0,0,1,0,0,0,0,0,0.87074,,751.95,0,15,0,0,0,0,0,0,0,0,0,0,0,,1,747.993,8,754.595,119.963,755.722,231.925,756.881,292.213,761.046,352.5,0,0,0
15,E. DA CUNHA,15,16,16,4,1,108.8,0.751147,0,148,14,14,0,12,0,0.086,6.8252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,25,42,58,52,47,43,41,15,7,24,0,0,16,1,1.07,0,0,0,0,0,0,0,0,-1,0.87982,,576.62,0,16,0,0,0,0,0,0,0,0,0,0,0,,1,573.042,12,578.902,197.543,580.899,383.085,581.757,482.993,581.884,582.9,0,0,0
16,A.S.OLIVEIRA,16,17,17,2,1,32,0.228415,0,178,25,25,0,12,0,0.202,3.74084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,11,24,45,60,54,46,42,42,21,4,24,0,0,17,1,2.7,0,0,0,0,0,0,0,0,-1,0.91967,,546.68,0,17,0,0,0,0,0,0,0,0,0,0,0,,1,545.55,12,547.638,207,548.784,402,549.348,507,549.924,612,0,0,0
17,MARIMBONDO,17,18,18,8,1,1488,0.476417,0,2944,890,6150,0.1549,245,0,1.113,4.10532,0.36802,890,0.41391,1626.4,0.46441,2836.2,0.51353,4572,0.54798,6150,119.75,890,225.751,2257.6,303.481,3467.4,390.663,5098,438.75,6150,0,0,0,0,0,0,0,0,0,0,424.155,890,429.282,1626.4,434.924,2836.2,440.412,4572,444.26,6150,12,11,30,58,71,72,59,58,54,27,5,33,0,0,18,1,305.313,0,0,0,1,0,0,0,0,0,0.91244,,383.04,0,18,0,0,0,0,0,0,0,0,0,0,0,,1,381.436,245,386.009,3689.03,390.134,7133.05,392.178,8987.52,394.104,10842,0,0,0
18,A. VERMELHA,18,34,34,6,1,1396.2,0.447547,0,2958,5856,11025,0.114,364,0,0.188,2.67531,0.39973,5856,0.42166,6889.8,0.4453,8182.05,0.46759,9577.68,0.48794,11025,399.711,5856,461.551,7096.56,518.889,8285.43,578.812,9577.68,643.516,11025,0,0,0,0,0,0,0,0,0,0,372.549,5856,375.032,6889.8,377.709,8182.05,380.233,9577.68,382.537,11025,12,16,30,53,73,74,65,61,58,23,3,27,0,0,34,1,526.02,0,0,0,1,0,0,0,0,0,0.90031,,327.29,0,34,0,0,0,0,0,0,0,0,0,0,0,,0,323.123,0,323.172,1442.03,324.204,2884.05,324.971,3660.53,325.797,4437,0,0,0
20,BATALHA,22,21,21,2,1,52.5,0.330544,0,154,430.05,1781.61,0.2563,8,0,5.098,9.82791,0.25181,430.05,0.28525,646.3,0.32239,957.158,0.35515,1322.08,0.38711,1781.61,47.3101,430.05,69.1516,646.3,93.4036,957.158,114.798,1322.08,135.671,1781.61,0,0,0,0,0,0,0,0,0,0,783.391,430.05,787.097,646.3,791.212,957.158,794.841,1322.08,798.383,1781.61,0,15,23,42,66,52,91,108,94,44,3,15,0,0,21,1,102.349,0,0,0,1,0,0,0,0,0,0.91998,,755.49,0,21,0,0,0,0,0,0,0,0,0,0,0,,1,754.108,8,756.756,250.125,758.493,492.25,759.183,622.625,759.763,753,0,0,0
21,SERRA FACAO,251,24,24,2,1,212.58,0.610036,0,324,1752,5199,0.3103,13,0,0.5,1.10993,0.48784,1752,0.53883,2234.58,0.59346,3027.39,0.66896,4509.6,0.69539,5199,89.1875,1752,108.052,2096.7,129.219,2613.75,206.635,4992.18,212.125,5199,0,0,0,0,0,0,0,0,0,0,731.129,1752,737.006,2234.58,743.303,3027.39,752.005,4509.6,755.051,5199,6,8,20,35,55,57,57,59,52,24,16,31,0,0,24,1,157.125,0,0,0,1,0,0,0,0,0,0.8844,,674.9,0,24,0,0,0,0,0,0,0,0,0,0,0,,1,674.041,13,676.2,415.35,677.244,817.7,677.748,1034.35,678.244,1251,0,0,0
24,EMBORCACAO,24,31,31,4,1,1192,1.0913,0,1048,4669,17725,0.1474,100,0,1.717,4.90726,0.84391,4669,0.95558,6757.96,1.07432,10022,1.20597,14852.7,1.26233,17725,150.033,4669,221.001,7280.2,414.824,14983.2,456.361,16680.5,477.68,17725,0,0,0,0,0,0,0,0,0,0,613.898,4669,626.175,6757.96,639.23,10022,653.702,14852.7,659.899,17725,0,2,16,36,53,54,54,50,45,16,5,19,0,0,31,1,319.369,0,0,0,1,0,0,0,0,0,0.92722,,521.12,0,31,0,0,0,0,0,0,0,0,0,0,0,,0,519.32,0,521.244,510.9,523.013,1021.8,523.911,1296.9,524.776,1572,0,0,0
25,NOVA PONTE,25,26,26,3,1,510,0.906781,0,576,2412,12792,0.134,40,0,0.616,2.23497,0.69463,2412,0.78262,3865.2,0.88162,6252.6,0.98613,9885.6,1.04926,12792,125.156,2412,175.497,3657.6,240.42,5629.8,414.612,11754,442.5,12792,0,0,0,0,0,0,0,0,0,0,773.86,2412,783.661,3865.2,794.688,6252.6,806.329,9885.6,813.36,12792,16,7,23,40,61,65,67,66,54,25,13,33,0,0,26,1,296.813,0,0,0,1,0,0,0,0,0,0.91519,,696.49,0,26,0,0,0,0,0,0,0,0,0,0,0,,1,693.779,40,697.985,632.963,700.483,1225.93,701.619,1545.21,701.91,1864.5,0,0,0
26,MIRANDA,206,27,27,3,1,408,0.616266,0,675,974,1120,0.5059,42,0,0.874,4.15507,0.60274,974,0.61206,1023.64,0.61932,1063.06,0.62533,1096.64,0.62936,1120,46.1875,974,46.8806,997.36,47.2705,1010.5,48.0936,1038.24,50.5195,1120,0,0,0,0,0,0,0,0,0,0,692.26,974,693.31,1023.64,694.129,1063.06,694.806,1096.64,695.26,1120,7,4,18,37,54,54,53,52,41,15,5,26,0,0,27,1,47.7031,0,0,0,1,0,0,0,0,0,0.90448,,624.33,0,27,0,0,0,0,0,0,0,0,0,0,0,,0,624.525,0,625.052,329.063,625.481,658.125,625.681,835.313,625.862,1012.5,0,0,0
