plant,downstream
fontes_a,pereira_passos
funil,sta_cecilia
jaguari,funil
nilo_pecanha,pereira_passos
paraibuna,sta_branca
picada,sobragi
simplicio,ilha_dos_pombos
sobragi,simplicio
sta_branca,funil
tocos,santana
lajes,fontes_a
santana,simplicio
sta_cecilia,simplicio
