 NUM,...Nombre...,.PV.,.VAA,.TAA,#Uni,Tipo,....Pot,.FPMed.,.QMin..,.QMax..,.VMin..,.VMax..,.VInic.,Min.V+T,..VNC..,..ICP..,...IH..,..FP1..,..Vol1.,..FP2..,..Vol2.,..FP3..,..Vol3.,..FP4..,..Vol4.,..FP5..,..Vol5.,.Area1.,..Vol1.,.Area2.,..Vol2.,.Area3.,..Vol3.,.Area4.,..Vol4.,.Area5.,..Vol5.,.Filt1.,..Vol1.,.Filt2.,..Vol2.,.Filt3.,..Vol3.,.Filt4.,..Vol4.,.Filt5.,..Vol5.,.Cota1.,.Vol1..,.Cota2.,.Vol2..,.Cota3.,.Vol3..,.Cota4.,.Vol4..,.Cota5.,.Vol5..,.Ev1,.Ev2,.Ev3,.Ev4,.Ev5,.Ev6,.Ev7,.Ev8,.Ev9,Ev10,Ev11,Ev12,tini,tfil,.faa,tare,.varea.,tfil,.vfiltr,F.Reg..,pVar,.ICV,C.Vert.,sfal,Cos.O&M,Irxh,RendT&G,.EA.,Niv.Jus,I,JuAr,I,.TurIn1,.TotIn1,.TurIn2,.TotIn2,.TurIn3,.TotIn3,.TurIn4,.TotIn4,.TurIn5,.TotIn5,H,V,.CFuga1,..Def1.,.CFuga2,..Def2.,.CFuga3,..Def3.,.CFuga4,..Def4.,.CFuga5,..Def5.,E,PHidTur,PHidVer
  92,ITA,  92, 103, 103,   5,   1,  1450.,.910934,     0.,  1590.,  5100.,  5100.,     0.,    49.,   0,  0.353,2.38082,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -66, -37,  -2,  62,  97, 111, 110,  94,  60,   4, -39, -75,   0,   0, 103,   1, 141.18,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.91346,, 265.42,0, 103,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,261.509,    49.,267.495,3536.45,270.875,7023.89,272.402,8901.74,272.515,10779.6,0,     0.,     0.
  93,PASSO FUNDO,  93,  94,  94,   2,   1,   226.,2.22224,     0.,   102.,   185.,  1589., 0.5835,     1.,   0,  3.317,9.79766,2.15219,   185.,2.17956, 381.56,2.20995,  676.4,2.24147,1083.56,2.27303,  1589.,51.6416,   185.,73.8439, 381.56,98.5884,  676.4,124.331,1083.56,150.221,  1589.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,584.044,   185.,587.203, 381.56,590.712,  676.4, 594.35,1083.56,597.993,  1589., -29,   0,  40,  77,  94,  93,  84,  67,  31, -11, -31, -47,   0,   0,  94,   1,112.163,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.88305,,  335.6,0,  94,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,  335.1,     0.,335.492, 49.725,335.856,  99.45,336.041,126.225,336.217,   153.,0,     0.,     0.
  94,MONJOLINHO, 220, 103, 103,   2,   1,    74.,.559195,     0.,   134., 150.48, 150.48,     0.,     2.,   0,   0.26,1.49677,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -69, -40,  -4,  62,  96, 114, 110,  93,  59,   2, -43, -80,   0,   0, 103,   1,5.34375,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.91998,, 264.84,0, 103,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,264.929,     2.,265.733,343.575,266.571, 685.15,267.026,869.075,267.477,  1053.,0,     0.,     0.
  95,QUEBRA QUEIX, 286,,,   3,   1,   120.,1.01667,     0.,   114.,   111.,   137., 0.5791,     3.,   0,  1.036,4.40077,0.99372,   111.,1.00438, 116.72,1.01668, 123.74,1.02829, 130.76,  1.038,   137., 4.1543,   111.,4.20674,  112.3,4.25918,  113.6,4.31162,  114.9,5.20313,   137.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,540.936,   111.,542.162, 116.72,543.578, 123.74,544.913, 130.76,546.031,   137.,  11,  32,  58,  78,  78,  65,  49,  34,  14, -14, -18, -10,   0,   0,,   1, 4.6543,   0,     0.,     0.,   1,   0,     0.,   0,     0.,   0,0.88604,, 426.61,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,426.042,     3.,427.092,274.489,427.431,545.978,427.637,692.164,427.678, 838.35,0,     0.,     0.
 101,SAO JOSE, 102, 102, 102,   2,   1,    51.,.190931,     0.,   288., 186.33, 186.33,     0.,    20.,   0,  0.588, 5.5924,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,  -5,  21,  57,  81,  95,  82,  66,  44,  13, -19, -34, -21,   0,   0, 102,   1,  23.46,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.90816,, 132.64,0, 102,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1, 130.71,    20.,132.184,713.063,133.469,1406.13,134.093,1779.31,134.676, 2152.5,0,     0.,     0.
 102,PASSO S JOAO, 103,,,   2,   1,    77.,.261406,     0.,   326.,  102.4,  102.4,     0.,    50.,   0,  0.096,4.58769,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -28,  -2,  38,  75,  99,  94,  86,  69,  35,  -7, -28, -35,   0,   0,,   1,20.6001,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.92395,,  99.19,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,1,97.8486,    50., 100.12,639.063,101.607,1228.13,102.218,1545.31,102.361, 1862.5,0,     0.,     0.
 103,FOZ CHAPECO,  94,,,   4,   1,   855.,0.44928,     0.,  1888., 1427.5, 1501.8,     0.,    79.,   0,  0.344,2.55936,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -74, -43, -11,  57,  91, 114, 107,  90,  58,  -1, -48, -85,   0,   0,,   1,79.1875,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.90367,, 212.44,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,210.708,     0.,212.005,  920.4,213.086, 1840.8,213.597, 2336.4,214.065,  2832.,0,     0.,     0.
  97,CASTRO ALVES,  98,  98,  98,   3,   1,129.999,.759057,     0.,   159.,    87.,    92.,     0.,     3.,   0,  0.049,2.36687,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0., -68, -43,   3,  63, 101, 110, 109,  94,  49,  -1, -44, -84,   0,   0,  98,   1,   4.25,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.91998,, 147.94,0,  98,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,136.528,     0.,137.986,77.5125,139.109,155.025,  139.6,196.763,140.024,  238.5,0,     0.,     0.
  98,MONTE CLARO,  97,  99,  99,   2,   1,   130.,.334874,     0.,   372.,   10.1,  11.28,     0.,     8.,   0,   0.33,4.52212,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   0,  24,  64,  81,  84,  66,  49,  30,   5, -23, -32, -30,   0,   0,  99,   1,1.26221,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.91998,, 106.79,0,  99,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,105.125,     0., 105.78, 181.35,106.414,  362.7,106.747, 460.35,107.075,   558.,0,     0.,     0.
  99,14 DE JULHO, 284,,,   2,   1,   100.,.297965,     0.,   340.,  49.31,    55.,     0.,     8.,   0,  0.199,4.98945,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,   1,  25,  64,  81,  84,  67,  49,  30,   4, -24, -31, -31,   0,   0,,   1,5.17078,   0,     0.,     0.,   0,   0,     0.,   0,     0.,  -1,0.90948,,  71.02,0,,0,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,     0.,,0,67.4415,     0.,68.2434, 165.75,68.9874,  331.5,69.3653, 420.75,69.7281,   510.,0,     0.,     0.
