NUM ...Nombre... .TP ...PrdEsp... ...PrdHid... U .....A0..... .....A1..... .....A2..... .....A3..... .....A4.....
 169 SOBRADINHO           0.008917          0.2 2      374.179   0.00139669 -5.3516e-008 1.15599e-012  -9.546e-018
 172 ITAPARICA             0.00871         0.52 2      275.813  0.006764889 -8.8684e-007 7.06791e-011 -2.2398e-015
 176 COMP PAF-MOX         0.009035          0.6 2        251.5            0            0            0            0
 178 XINGO                0.009014         0.84 2     137.3886            0            0            0            0
 154 ITAPEBI              0.008867         0.95 2     109.6532            0            0            0            0
 189 P. CAVALO            0.008829          2.2 2     65.90313   0.03003821 -7.5572e-006 1.16857e-009 -7.5717e-014
 190 B. ESPERANCA         0.008935         0.54 2      121.659   0.02458819 -7.4466e-006  1.1826e-009 -7.2555e-014
