MOD: 01/09/2021
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 16065.     0. 16065.     0. 15965.                             
MOD: 01/01/2024
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14465.     0. 14465.     0. 14765.                             
   1 Soma    1        0. 11300.     0. 11300.     0.  8300.                             
MOD: 01/05/2024
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14806.     0. 14806.     0. 15106.                             
MOD: 01/07/2024
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 15806.     0. 15806.     0. 15806.                             
   1 Soma    1        0.  9600.     0.  9600.     0.  9000.                             
MOD: 01/08/2024
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14306.     0. 14306.     0. 14306.                             
MOD: 01/11/2024
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14965.     0. 14965.     0. 14765.                             
MOD: 01/12/2024
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 16065.     0. 16065.     0. 15965.                             
MOD: 01/01/2025
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14465.     0. 14465.     0. 14765.                             
   1 Soma    1        0. 11300.     0. 11300.     0.  8300.                             
MOD: 01/04/2025
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
   2 Soma    2        0. 14700.     0. 14700.     0. 14100.                             
   1 Soma    1        0. 15000.     0. 15000.     0.  9300.                             
MOD: 01/05/2025
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14806.     0. 14806.     0. 15106.                             
MOD: 01/07/2025
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 15806.     0. 15806.     0. 15806.                             
   1 Soma    1        0. 11000.     0. 11000.     0.  9300.                             
MOD: 01/08/2025
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14306.     0. 14306.     0. 14306.                             
MOD: 01/11/2025
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 14965.     0. 14965.     0. 14765.                             
MOD: 01/12/2025
#Res (...Nome...) L.b.p1 U.b.p1 L.b.p2 U.b.p2 L.b.p3 U.b.p3 L.b.p4 U.b.p4 L.b.p5 U.b.p5 
  14 Soma   14        0. 16065.     0. 16065.     0. 15965.                             
