$version=1
!Code,Pol,Reference,N,A0,A1,A2,A3,A4
169,1,0,4,359.654,0.001964,-3e-007,2.5e-011,-8e-016
172,1,0,4,251.5,0,0,0,0
176,1,0,4,138,0,0,0,0
178,1,0,4,10.0386,0.006665,-2.5e-006,4.56e-010,-3e-014
